                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64009,                0.85627,                 1.2076,                0.72593,                0.75643,                0.80128,                 0.6606,                0.73339,                0.95364,                 1.2086,             0.00086902,             0.00086902,             0.00086902
                     36,                0.61047,                0.85666,                 1.1931,                0.75044,                0.79264,                0.81063,                0.68138,                0.68242,                0.85752,                 1.1575,             0.00086169,             0.00086169,             0.00086169
                     37,                0.61886,                0.81629,                 1.1984,                0.82733,                0.71939,                0.81473,                0.66804,                0.73354,                0.92229,                 1.2084,             0.00085436,             0.00085436,             0.00085436
                     38,                0.63801,                0.85222,                 1.2122,                0.83369,                 0.7182,                0.83031,                0.68043,                0.72858,                0.88131,                 1.2103,             0.00084703,             0.00084703,             0.00084703
                     39,                0.61462,                 0.8111,                 1.1803,                0.77965,                0.74595,                0.79422,                0.63052,                0.75481,                0.97888,                 1.2353,             0.00083969,             0.00083969,             0.00083969
                     40,                0.60545,                0.82619,                 1.1765,                0.69839,                0.73045,                0.78418,                0.65157,                0.70027,                 1.1095,                 1.1838,             0.00083236,             0.00083236,             0.00083236
                     41,                0.60183,                0.81955,                 1.1757,                0.81402,                0.75107,                0.83022,                 0.6934,                0.68302,                0.89959,                  1.159,             0.00082503,             0.00082503,             0.00082503
                     42,                0.61136,                0.85797,                 1.1891,                0.80528,                0.71158,                0.80561,                0.66629,                0.72702,                 0.9568,                 1.2011,              0.0008177,              0.0008177,              0.0008177
                     43,                 0.6216,                0.83742,                 1.1929,                0.81863,                0.74091,                0.82402,                0.67783,                0.70102,                0.91629,                 1.1792,             0.00081036,             0.00081036,             0.00081036
                     44,                0.60285,                0.79577,                 1.1769,                0.71864,                0.71674,                0.79239,                0.65945,                0.71388,                0.99439,                 1.1775,             0.00080303,             0.00080303,             0.00080303
                     45,                0.58803,                0.79229,                 1.1746,                0.78156,                0.75355,                0.81991,                0.67001,                0.70722,                0.91299,                 1.1765,              0.0007957,              0.0007957,              0.0007957
                     46,                0.59833,                0.81116,                 1.1866,                0.76183,                0.77976,                0.81339,                0.67446,                0.69257,                0.90357,                 1.1705,             0.00078837,             0.00078837,             0.00078837
                     47,                0.60021,                0.77507,                 1.1768,                0.77185,                0.75305,                0.82466,                0.68717,                0.68701,                0.91887,                 1.1656,             0.00078103,             0.00078103,             0.00078103
                     48,                0.60612,                0.78007,                 1.1821,                0.80396,                0.75541,                0.83107,                0.69363,                0.68892,                 0.8671,                 1.1801,              0.0007737,              0.0007737,              0.0007737
                     49,                0.59933,                0.76739,                 1.1775,                 0.7689,                0.75758,                0.81873,                0.67808,                0.70608,                0.92004,                 1.1919,             0.00076637,             0.00076637,             0.00076637
                     50,                0.58969,                0.74999,                 1.1779,                0.81396,                0.77639,                0.83018,                0.69251,                0.71896,                0.86653,                 1.1827,             0.00075904,             0.00075904,             0.00075904
                     51,                0.60535,                0.75464,                 1.1793,                0.85591,                0.74797,                0.83604,                0.70039,                0.69998,                0.86923,                 1.1787,              0.0007517,              0.0007517,              0.0007517
                     52,                0.57992,                0.72842,                 1.1705,                0.83977,                0.76753,                0.84466,                0.70804,                0.69781,                0.85005,                  1.165,             0.00074437,             0.00074437,             0.00074437
                     53,                0.58897,                0.73287,                 1.1678,                0.83903,                0.76675,                0.83135,                0.69354,                 0.6972,                0.87184,                 1.1621,             0.00073704,             0.00073704,             0.00073704
                     54,                0.61115,                0.76241,                 1.1882,                0.76555,                 0.7647,                0.82182,                 0.6822,                0.67401,                0.90676,                 1.1504,              0.0007297,              0.0007297,              0.0007297
                     55,                0.58953,                0.71906,                 1.1669,                 0.7649,                0.76595,                0.80148,                0.66944,                0.69394,                0.92477,                 1.1724,             0.00072237,             0.00072237,             0.00072237
                     56,                0.59596,                0.75284,                 1.1723,                0.76293,                  0.765,                 0.8158,                0.68894,                0.67883,                0.86281,                 1.1525,             0.00071504,             0.00071504,             0.00071504
                     57,                0.57995,                0.72596,                 1.1687,                0.82912,                0.76989,                0.83486,                0.70681,                0.67119,                0.82917,                 1.1291,             0.00070771,             0.00070771,             0.00070771
                     58,                 0.5836,                 0.7201,                 1.1684,                0.80606,                0.76658,                0.82236,                0.68459,                 0.6868,                0.85533,                 1.1635,             0.00070037,             0.00070037,             0.00070037
                     59,                0.56816,                0.71759,                 1.1561,                0.81423,                0.78008,                0.83362,                0.68948,                0.71424,                0.87518,                 1.1848,             0.00069304,             0.00069304,             0.00069304
                     60,                0.57643,                0.72023,                 1.1649,                0.80574,                0.78664,                0.83368,                0.70307,                0.68168,                0.83245,                 1.1599,             0.00068571,             0.00068571,             0.00068571
                     61,                0.57021,                0.70926,                 1.1482,                0.80227,                 0.7782,                0.83967,                0.69751,                0.69514,                0.81244,                 1.1905,             0.00067838,             0.00067838,             0.00067838
                     62,                0.58025,                0.69352,                 1.1565,                0.84079,                0.77443,                0.84602,                0.71052,                0.70173,                0.83979,                 1.1591,             0.00067104,             0.00067104,             0.00067104
                     63,                0.56648,                0.68731,                 1.1456,                0.84255,                0.76719,                0.83804,                0.70572,                0.70362,                 0.8535,                 1.1606,             0.00066371,             0.00066371,             0.00066371
                     64,                0.58266,                0.73642,                  1.161,                0.81766,                0.76859,                0.83834,                0.69912,                0.68069,                0.87622,                 1.1438,             0.00065638,             0.00065638,             0.00065638
                     65,                0.59389,                0.70846,                 1.1737,                0.79148,                0.76572,                0.82575,                 0.6955,                0.66658,                0.85234,                  1.132,             0.00064905,             0.00064905,             0.00064905
