                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58051,                0.74543,                 1.1674,                0.80497,                0.77551,                0.82291,                0.70178,                0.66916,                0.85003,                 1.1428,             0.00038507,             0.00038507,             0.00038507
                     36,                0.56118,                0.73683,                 1.1607,                0.85135,                0.78392,                0.85795,                0.73082,                0.66452,                0.78577,                 1.1285,             0.00036307,             0.00036307,             0.00036307
                     37,                0.56547,                0.70298,                 1.1563,                0.81135,                0.79332,                0.84165,                0.71564,                0.64398,                0.81176,                 1.1118,             0.00034108,             0.00034108,             0.00034108
                     38,                0.57002,                0.72873,                 1.1681,                0.84136,                0.76378,                0.84936,                0.72262,                0.66311,                0.79556,                 1.1356,             0.00031908,             0.00031908,             0.00031908
                     39,                0.56268,                0.70087,                 1.1474,                0.82531,                0.76519,                0.82902,                0.70469,                0.66971,                0.88188,                 1.1417,             0.00029708,             0.00029708,             0.00029708
                     40,                0.54076,                0.70729,                 1.1414,                 0.8262,                0.78082,                0.83463,                0.71188,                0.64752,                0.83246,                 1.1063,             0.00027508,             0.00027508,             0.00027508
                     41,                0.49439,                0.62426,                 1.1697,                0.80667,                0.78642,                 0.8381,                0.71277,                0.65632,                0.80682,                 1.1259,             0.00025309,             0.00025309,             0.00025309
                     42,                 0.4749,                0.56868,                 1.1453,                0.84233,                0.76826,                0.83611,                0.71608,                0.63262,                 0.7881,                 1.1127,             0.00023109,             0.00023109,             0.00023109
                     43,                0.46759,                0.55624,                 1.1457,                0.85465,                0.76338,                0.83071,                0.70327,                0.65034,                0.79901,                  1.126,             0.00020909,             0.00020909,             0.00020909
                     44,                0.45351,                0.54407,                 1.1308,                 0.8358,                0.77583,                0.84912,                0.72001,                0.65721,                0.78892,                 1.1365,             0.00018709,             0.00018709,             0.00018709
                     45,                0.44613,                0.51281,                  1.126,                0.83238,                0.80067,                0.85309,                 0.7315,                0.63551,                0.78726,                 1.1151,             0.00016509,             0.00016509,             0.00016509
                     46,                0.44597,                0.49129,                  1.108,                0.83491,                0.79433,                0.84895,                0.72514,                0.63037,                0.77148,                 1.1078,              0.0001431,              0.0001431,              0.0001431
                     47,                0.46158,                0.48188,                 1.1296,                0.86016,                0.78148,                0.85087,                 0.7323,                 0.6231,                0.77855,                 1.0982,              0.0001211,              0.0001211,              0.0001211
                     48,                0.42645,                  0.483,                 1.1016,                0.86784,                0.75026,                0.84848,                0.73135,                0.62706,                0.77648,                 1.1014,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.46062,                0.48233,                 1.1442,                0.85742,                0.77592,                0.85188,                 0.7376,                0.61737,                0.78024,                 1.0887,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.41367,                0.44623,                 1.0898,                0.85568,                0.77847,                0.85398,                0.73424,                0.61948,                0.77225,                 1.0925,             5.5106e-05,             5.5106e-05,             5.5106e-05
