                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78405,                 2.5328,                 1.3448,                0.67301,                0.26623,                0.35887,                 0.2335,                 1.1729,                 3.5484,                 1.7697,             0.00036717,             0.00036717,             0.00036717
                      2,                 0.8388,                 1.9688,                 1.3595,                0.29587,                0.34802,                0.23253,                0.10352,                 1.5749,                 4.0654,                 2.0219,              0.0007083,              0.0007083,              0.0007083
                      3,                0.83461,                 1.7701,                 1.3549,                0.40114,                0.47287,                0.40534,                0.23247,                 1.3598,                 2.6403,                 2.1852,              0.0010201,              0.0010201,              0.0010201
                      4,                 0.8354,                  1.751,                 1.3429,                0.43031,                0.50551,                0.45004,                0.28787,                 1.2071,                 2.0368,                 1.8619,             0.00097901,             0.00097901,             0.00097901
                      5,                 0.8171,                 1.5765,                 1.3427,                0.40889,                0.50908,                 0.4774,                0.29868,                 1.4184,                 2.0418,                 2.2546,             0.00097901,             0.00097901,             0.00097901
                      6,                0.80291,                 1.4658,                  1.326,                0.63054,                 0.5878,                0.61673,                0.44003,                0.98542,                 1.5764,                 1.4612,             0.00093502,             0.00093502,             0.00093502
                      7,                0.78724,                 1.4337,                 1.3196,                0.53516,                0.62871,                0.62086,                0.47552,                0.88627,                 1.5247,                 1.3761,             0.00089102,             0.00089102,             0.00089102
                      8,                0.76647,                 1.3629,                 1.3005,                0.68564,                0.65263,                0.71804,                0.56383,                0.82623,                 1.3248,                 1.3258,             0.00084703,             0.00084703,             0.00084703
                      9,                0.73687,                 1.2822,                 1.2719,                0.68607,                0.66118,                0.70356,                0.53773,                0.84577,                 1.2531,                 1.3264,             0.00080303,             0.00080303,             0.00080303
                     10,                0.73352,                 1.2315,                  1.278,                0.65921,                0.67021,                0.73632,                 0.5674,                0.86234,                 1.2715,                 1.3574,             0.00075904,             0.00075904,             0.00075904
                     11,                0.73168,                 1.2263,                 1.2759,                0.72227,                0.67472,                0.73468,                0.57446,                 0.8033,                 1.1972,                  1.296,             0.00071504,             0.00071504,             0.00071504
                     12,                0.69527,                 1.1539,                 1.2505,                0.71006,                0.67972,                0.74314,                0.56823,                0.88429,                 1.1461,                 1.3801,             0.00067104,             0.00067104,             0.00067104
                     13,                0.70428,                 1.1064,                 1.2621,                0.70167,                0.70614,                0.76701,                0.60035,                0.84696,                  1.164,                 1.3385,             0.00062705,             0.00062705,             0.00062705
                     14,                0.68835,                 1.0688,                 1.2454,                0.68733,                0.52794,                0.60949,                0.49729,                 0.7536,                 1.4829,                 1.2344,             0.00058305,             0.00058305,             0.00058305
                     15,                 0.6833,                 1.0887,                 1.2534,                0.75577,                0.65972,                0.78766,                0.64755,                0.73392,                 1.0395,                 1.2115,             0.00053906,             0.00053906,             0.00053906
                     16,                0.64175,                 1.0812,                 1.2957,                0.75386,                0.71006,                0.78459,                0.63873,                0.76958,                 1.0489,                 1.2377,             0.00049506,             0.00049506,             0.00049506
                     17,                0.58596,                0.94457,                 1.2424,                0.68535,                0.78059,                0.78693,                 0.6394,                0.72757,                 1.0531,                 1.2025,             0.00045107,             0.00045107,             0.00045107
                     18,                0.57217,                 0.8947,                 1.2363,                0.77938,                0.72209,                0.80341,                0.65757,                0.71435,                 1.0164,                 1.1784,             0.00040707,             0.00040707,             0.00040707
                     19,                0.54937,                0.86176,                 1.2174,                0.76898,                 0.6962,                0.80226,                0.67144,                0.69898,                 1.0149,                 1.1698,             0.00036307,             0.00036307,             0.00036307
                     20,                0.53046,                0.83262,                 1.1962,                0.79117,                0.77239,                0.82786,                0.69712,                0.68061,                0.87218,                 1.1514,             0.00031908,             0.00031908,             0.00031908
                     21,                0.52763,                0.77829,                 1.1941,                0.78924,                0.76546,                0.83109,                0.69542,                0.67689,                0.85807,                 1.1557,             0.00027508,             0.00027508,             0.00027508
                     22,                0.50837,                0.73301,                 1.1788,                 0.8008,                0.77645,                0.83905,                0.70246,                0.66802,                 0.8567,                 1.1449,             0.00023109,             0.00023109,             0.00023109
                     23,                0.48629,                0.68897,                 1.1553,                0.82346,                0.75808,                0.83498,                0.70968,                0.65175,                0.82901,                 1.1264,             0.00018709,             0.00018709,             0.00018709
                     24,                0.47037,                0.65868,                 1.1492,                0.84052,                 0.7629,                0.85093,                0.72756,                0.64648,                0.82237,                 1.1275,              0.0001431,              0.0001431,              0.0001431
                     25,                0.47241,                0.64697,                 1.1431,                0.78104,                0.78987,                0.84666,                0.72179,                0.64053,                0.81588,                 1.1167,             9.9101e-05,             9.9101e-05,             9.9101e-05
